complaint_text,category,urgency
It seems like the login page won’t load at all. i need immediate assistance. it's very urgent.,Login Trouble,medium
It seems like there’s no tracking update for my order.,Delivery Delay,low
Customer service keeps transferring my call. I need immediate assistance. It's very urgent. It's quite frustrating.,Customer Support,medium
My issue hasn’t been resolved for over a month. I need immediate assistance. It's very urgent.,Customer Support,low
Technical support hasn’t resolved my issue after multiple attempts. I need immediate assistance. It's very urgent. It's quite frustrating.,Technical Issue,low
The packaging was torn and the contents were damaged. Kindly look into it soon.,Product Damage,medium
"Having trouble because every time i reach out, i get a different answer.",Service Issue,high
The representative was rude and unhelpful. I need immediate assistance. It's very urgent.,Service Issue,high
The delivery was promised within 3 days but it's been over a week. Kindly look into it soon.,Delivery Delay,low
"Every time I reach out, I get a different answer. It's quite frustrating.",Service Issue,medium
It seems like the resolution time is way too long for such a basic issue. i need immediate assistance. it's very urgent.,Service Issue,low
They keep closing my ticket without a resolution.,Customer Support,high
The packaging was torn and the contents were damaged. It's quite frustrating.,Product Damage,low
This is urgent. The resolution time is way too long for such a basic issue. Please resolve this ASAP. It's quite frustrating.,Service Issue,medium
This is urgent. The item is stuck in transit and no one is helping. Please resolve this ASAP.,Delivery Delay,high
Having trouble because i reset my password but still can’t access my account.,Login Trouble,high
Faced an issue: This is urgent. Push notifications are not working properly. Please resolve this ASAP.,App Bug,high
Having trouble because this is urgent. the delivery was promised within 3 days but it's been over a week. please resolve this asap.,Delivery Delay,medium
"My order slip is correct, but the item is wrong. I need immediate assistance. It's very urgent.",Wrong Item,low
"Faced an issue: This is urgent. My card was declined without any reason, even though it's active. Please resolve this ASAP.",Payment Issue,low
"My card was declined without any reason, even though it's active.",Payment Issue,low
The resolution time is way too long for such a basic issue.,Service Issue,medium
This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,high
It seems like the login page won’t load at all. kindly look into it soon.,Login Trouble,low
Faced an issue: I received a different color and size than what I ordered.,Wrong Item,medium
Faced an issue: There are unauthorized activities showing up in my account.,Account Issue,high
I'm facing constant glitches while navigating the dashboard. Kindly look into it soon.,Technical Issue,medium
The website isn’t responding when I click on certain links. I need immediate assistance. It's very urgent. It's quite frustrating.,Technical Issue,medium
It seems like i received a different color and size than what i ordered.,Wrong Item,low
This is not the product I paid for. Kindly look into it soon. It's quite frustrating.,Wrong Item,medium
My account was suspended without any notification. It's quite frustrating.,Account Issue,medium
This is urgent. I keep getting logged out every few minutes. Please resolve this ASAP.,Login Trouble,low
The packaging was torn and the contents were damaged. Kindly look into it soon.,Product Damage,low
This is urgent. The delivery was promised within 3 days but it's been over a week. Please resolve this ASAP.,Delivery Delay,medium
This is not the product I paid for. I need immediate assistance. It's very urgent.,Wrong Item,medium
"Having trouble because this is urgent. my card was declined without any reason, even though it's active. please resolve this asap.",Payment Issue,medium
It seems like i’ve submitted multiple tickets but no one responds. i need immediate assistance. it's very urgent.,Customer Support,high
The item is stuck in transit and no one is helping. Kindly look into it soon.,Delivery Delay,low
The support team gave me incorrect information. Kindly look into it soon.,Service Issue,high
My two-factor authentication code never arrives. I need immediate assistance. It's very urgent. It's quite frustrating.,Login Trouble,medium
It seems like my account was suspended without any notification. i need immediate assistance. it's very urgent.,Account Issue,high
Having trouble because my issue hasn’t been resolved for over a month. i need immediate assistance. it's very urgent.,Customer Support,high
Having trouble because i’m unable to update my email or phone number.,Account Issue,low
There are unauthorized activities showing up in my account. Kindly look into it soon.,Account Issue,low
Having trouble because the delivery was promised within 3 days but it's been over a week. i need immediate assistance. it's very urgent.,Delivery Delay,low
The app layout is broken on my phone. I need immediate assistance. It's very urgent.,App Bug,low
This is not the product I paid for. It's quite frustrating.,Wrong Item,medium
"Having trouble because my card was declined without any reason, even though it's active.",Payment Issue,medium
I requested a refund but haven't received it yet. Kindly look into it soon.,Payment Issue,low
Faced an issue: The app layout is broken on my phone.,App Bug,high
It seems like this is urgent. the resolution time is way too long for such a basic issue. please resolve this asap.,Service Issue,medium
Having trouble because i had to wait for 40 minutes to talk to someone. i need immediate assistance. it's very urgent.,Service Issue,high
The representative was rude and unhelpful. It's quite frustrating.,Service Issue,high
The representative was rude and unhelpful.,Service Issue,medium
"Having trouble because my order slip is correct, but the item is wrong.",Wrong Item,low
This is urgent. I can’t access my account despite entering the correct password. Please resolve this ASAP.,Account Issue,low
It seems like there are unauthorized activities showing up in my account. kindly look into it soon.,Account Issue,low
Customer service keeps transferring my call. Kindly look into it soon.,Customer Support,medium
Faced an issue: The website isn’t responding when I click on certain links. I need immediate assistance. It's very urgent.,Technical Issue,medium
Having trouble because i’m unable to update my email or phone number. i need immediate assistance. it's very urgent.,Account Issue,medium
Faced an issue: The box contained something completely unrelated. I need immediate assistance. It's very urgent.,Wrong Item,high
Having trouble because push notifications are not working properly. i need immediate assistance. it's very urgent.,App Bug,medium
It seems like this is urgent. the screen is cracked right out of the box. please resolve this asap.,Product Damage,low
My issue hasn’t been resolved for over a month. Kindly look into it soon. It's quite frustrating.,Customer Support,high
The website isn’t responding when I click on certain links. It's quite frustrating.,Technical Issue,low
Faced an issue: This is urgent. I keep getting logged out every few minutes. Please resolve this ASAP.,Login Trouble,high
I requested a refund but haven't received it yet. Kindly look into it soon.,Payment Issue,high
This is urgent. Push notifications are not working properly. Please resolve this ASAP.,App Bug,medium
"Instead of a phone, I got a pair of headphones.",Wrong Item,medium
It seems like i’ve submitted multiple tickets but no one responds. i need immediate assistance. it's very urgent.,Customer Support,high
It seems like my account was suspended without any notification.,Account Issue,high
Faced an issue: I keep getting logged out every few minutes. Kindly look into it soon.,Login Trouble,high
Faced an issue: I requested a refund but haven't received it yet. I need immediate assistance. It's very urgent.,Payment Issue,low
"This is urgent. Every time I reach out, I get a different answer. Please resolve this ASAP. It's quite frustrating.",Service Issue,medium
Faced an issue: This is urgent. The support team gave me incorrect information. Please resolve this ASAP.,Service Issue,medium
There’s no tracking update for my order. I need immediate assistance. It's very urgent.,Delivery Delay,low
The resolution time is way too long for such a basic issue. I need immediate assistance. It's very urgent.,Service Issue,high
Faced an issue: The support team gave me incorrect information.,Service Issue,medium
Faced an issue: This is urgent. Customer service keeps transferring my call. Please resolve this ASAP.,Customer Support,medium
I requested a refund but haven't received it yet. Kindly look into it soon.,Payment Issue,medium
Faced an issue: They keep closing my ticket without a resolution.,Customer Support,medium
I requested a refund but haven't received it yet. It's quite frustrating.,Payment Issue,high
Faced an issue: I reset my password but still can’t access my account. I need immediate assistance. It's very urgent.,Login Trouble,low
"Every time I reach out, I get a different answer. I need immediate assistance. It's very urgent.",Service Issue,low
Faced an issue: This is urgent. I reset my password but still can’t access my account. Please resolve this ASAP.,Login Trouble,medium
Faced an issue: I reset my password but still can’t access my account. Kindly look into it soon.,Login Trouble,low
They keep closing my ticket without a resolution.,Customer Support,medium
There are unauthorized activities showing up in my account. I need immediate assistance. It's very urgent.,Account Issue,high
This is urgent. Customer service keeps transferring my call. Please resolve this ASAP. It's quite frustrating.,Customer Support,high
My package is marked as shipped but hasn’t arrived for over a week. Kindly look into it soon.,Delivery Delay,medium
My profile details got changed without my knowledge. Kindly look into it soon.,Account Issue,medium
Having trouble because this is not the product i paid for.,Wrong Item,low
I waited the whole day but the delivery never happened. I need immediate assistance. It's very urgent.,Delivery Delay,low
Having trouble because this is urgent. i’ve submitted multiple tickets but no one responds. please resolve this asap.,Customer Support,low
Faced an issue: This is urgent. There are scratches and dents all over the product. Please resolve this ASAP.,Product Damage,high
It seems like this is urgent. push notifications are not working properly. please resolve this asap.,App Bug,high
It seems like this is urgent. there are scratches and dents all over the product. please resolve this asap.,Product Damage,medium
I requested a refund but haven't received it yet. Kindly look into it soon. It's quite frustrating.,Payment Issue,medium
This is urgent. Push notifications are fails to function properly. Please resolve this ASAP.,App Bug,medium
This is urgent. The website isn’t responding when I click on certain links. Please resolve this ASAP.,Technical Issue,low
Having trouble because the support team gave me incorrect information. i need immediate assistance. it's very urgent.,Service Issue,low
"My card was declined without any reason, even though it's active. I need immediate assistance. It's very urgent. It's quite frustrating.",Payment Issue,high
They keep closing my ticket without a resolution. I need immediate assistance. It's very urgent.,Customer Support,high
I'm facing constant glitches while navigating the dashboard. I need immediate assistance. It's very urgent. It's quite frustrating.,Technical Issue,low
Having trouble because i'm facing constant glitches while navigating the dashboard.,Technical Issue,low
The payment gateway shows an error every time I try to pay. Kindly look into it soon.,Payment Issue,high
The webwebsite isn’t responding when I click on certain links. I need immediate assistance. It's very urgent.,Technical Issue,low
It seems like this is urgent. i waited the whole day but the delivery never happened. please resolve this asap.,Delivery Delay,low
It seems like i was charged twice for the same transaction. i need immediate assistance. it's very urgent.,Payment Issue,low
Having trouble because push notifications are not working properly. kindly look into it soon.,App Bug,high
Having trouble because some buttons don’t respond when tapped. kindly look into it soon.,App Bug,low
It seems like the packaging was torn and the contents were damaged.,Product Damage,low
They keep closing my ticket without a resolution. It's quite frustrating.,Customer Support,medium
My payment was deducted but the order didn’t go through. Kindly look into it soon.,Payment Issue,high
This is urgent. I had to wait for 40 minutes to talk to someone. Please resolve this ASAP. It's quite frustrating.,Service Issue,medium
Having trouble because this is urgent. they keep closing my ticket without a resolution. please resolve this asap.,Customer Support,high
Having trouble because i can’t update the app from the store.,App Bug,high
Faced an issue: I had to wait for 40 minutes to talk to someone. Kindly look into it soon.,Service Issue,low
There are scratches and dents all over the product. Kindly look into it soon. It's quite frustrating.,Product Damage,medium
The payment gateway shows an error every time I try to pay. I need immediate assistance. It's very urgent.,Payment Issue,medium
Having trouble because technical support hasn’t resolved my issue after multiple attempts.,Technical Issue,low
The box contained something completely unrelated. I need immediate assistance. It's very urgent.,Wrong Item,medium
No one seems to take ownership of my complaint. I need immediate assistance. It's very urgent. It's quite frustrating.,Customer Support,low
The system keeps freezing when I try to upload my documents. It's quite frustrating.,Technical Issue,low
The app layout is broken on my phone. I need immediate assistance. It's very urgent. It's quite frustrating.,App Bug,low
The box contained something completely unrelated. I need immediate assistance. It's very urgent.,Wrong Item,medium
Faced an issue: The app closes automatically after I open it. Kindly look into it soon.,App Bug,low
I reset my password but still can’t access my account.,Login Trouble,medium
This is urgent. Technical support hasn’t resolved my issue after multiple attempts. Please resolve this ASAP.,Technical Issue,low
Having trouble because technical support hasn’t resolved my issue after multiple attempts. kindly look into it soon.,Technical Issue,high
Having trouble because customer service keeps transferring my call. kindly look into it soon.,Customer Support,low
This is urgent. I keep getting logged out every few minutes. Please resolve this ASAP.,Login Trouble,medium
My payment was deducted but the order didn’t go through. I need immediate assistance. It's very urgent.,Payment Issue,medium
It seems like i received a different color and size than what i ordered. i need immediate assistance. it's very urgent.,Wrong Item,medium
I'm facing constant glitches while navigating the dashboard. I need immediate assistance. It's very urgent.,Technical Issue,medium
Faced an issue: It looks like the product was previously used. Kindly look into it soon.,Product Damage,medium
Faced an issue: I can’t access my account despite entering the correct password.,Account Issue,high
This is not the product I paid for. Kindly look into it soon. It's quite frustrating.,Wrong Item,low
It seems like the screen is cracked right out of the box.,Product Damage,low
There are scratches and dents all over the product. Kindly look into it soon.,Product Damage,low
My package is marked as shipped but hasn’t arrived for over a week. Kindly look into it soon. It's quite frustrating.,Delivery Delay,low
It seems like push notifications are not working properly.,App Bug,low
Faced an issue: I requested a refund but haven't received it yet.,Payment Issue,medium
Having trouble because my profile details got changed without my knowledge. kindly look into it soon.,Account Issue,medium
Faced an issue: This is urgent. I reset my password but still can’t access my account. Please resolve this ASAP.,Login Trouble,medium
It seems like my issue hasn’t been resolved for over a month. i need immediate assistance. it's very urgent.,Customer Support,medium
It seems like they keep closing my ticket without a resolution. kindly look into it soon.,Customer Support,high
This is urgent. My account was suspended without any notification. Please resolve this ASAP.,Account Issue,high
This is urgent. I requested a refund but haven't received it yet. Please resolve this ASAP.,Payment Issue,low
My profile details got changed without my knowledge.,Account Issue,high
"It seems like every time i reach out, i get a different answer. i need immediate assistance. it's very urgent.",Service Issue,medium
The payment gateway shows an error every time I try to pay.,Payment Issue,medium
I was charged twice for the same transaction. I need immediate assistance. It's very urgent.,Payment Issue,medium
The screen is cracked right out of the box. I need immediate assistance. It's very urgent. It's quite frustrating.,Product Damage,low
It seems like the payment gateway shows an error every time i try to pay. i need immediate assistance. it's very urgent.,Payment Issue,low
The screen is cracked right out of the box.,Product Damage,low
"Every time I reach out, I get a different answer.",Service Issue,high
"This is urgent. My order slip is correct, but the item is wrong. Please resolve this ASAP. It's quite frustrating.",Wrong Item,low
This is urgent. I received a different color and size than what I ordered. Please resolve this ASAP. It's quite frustrating.,Wrong Item,low
"This is urgent. Every time I reach out, I get a different answer. Please resolve this ASAP.",Service Issue,low
"Faced an issue: Every time I reach out, I get a different answer.",Service Issue,medium
I’m unable to update my email or phone number. Kindly look into it soon.,Account Issue,high
Having trouble because i can’t update the app from the store. i need immediate assistance. it's very urgent.,App Bug,medium
The system keeps freezing when I try to upload my documents. Kindly look into it soon.,Technical Issue,low
"Every time I open the app, it stops working unexpectedly.",Technical Issue,high
"Having trouble because my card was declined without any reason, even though it's active. kindly look into it soon.",Payment Issue,low
The application layout is broken on my phone.,App Bug,high
Faced an issue: I received a different color and size than what I ordered. I need immediate assistance. It's very urgent.,Wrong Item,medium
"This is urgent. My order slip is correct, but the item is wrong. Please resolve this ASAP.",Wrong Item,low
It seems like the item arrived broken and unusable. i need immediate assistance. it's very urgent.,Product Damage,low
Having trouble because this is urgent. the resolution time is way too long for such a basic issue. please resolve this asap.,Service Issue,high
Faced an issue: This is urgent. I received a different color and size than what I ordered. Please resolve this ASAP.,Wrong Item,medium
"Having trouble because this is urgent. instead of a phone, i got a pair of headphones. please resolve this asap.",Wrong Item,low
It seems like i was charged twice for the same transaction. i need immediate assistance. it's very urgent.,Payment Issue,low
It seems like no one seems to take ownership of my complaint. i need immediate assistance. it's very urgent.,Customer Support,low
This is urgent. They keep closing my ticket without a resolution. Please resolve this ASAP.,Customer Support,medium
"My order slip is correct, but the item is wrong. Kindly look into it soon. It's quite frustrating.",Wrong Item,low
There’s no tracking update for my order.,Delivery Delay,high
My package is marked as shipped but hasn’t arrived for over a week. I need immediate assistance. It's very urgent.,Delivery Delay,medium
This is urgent. The system keeps freezing when I try to upload my documents. Please resolve this ASAP.,Technical Issue,medium
It seems like the app layout is broken on my phone. kindly look into it soon.,App Bug,high
Having trouble because the website isn’t responding when i click on certain links. i need immediate assistance. it's very urgent.,Technical Issue,high
I can’t update the app from the store. Kindly look into it soon. It's quite frustrating.,App Bug,low
"My card was declined without any reason, even though it's active. I need immediate assistance. It's very urgent.",Payment Issue,medium
The app layout is broken on my phone. I need immediate assistance. It's very urgent.,App Bug,low
It seems like no one seems to take ownership of my complaint. kindly look into it soon.,Customer Support,medium
They keep closing my ticket without a resolution.,Customer Support,medium
I had to wait for 40 minutes to talk to someone. I need immediate assistance. It's very urgent.,Service Issue,low
It seems like my payment was deducted but the order didn’t go through. kindly look into it soon.,Payment Issue,high
It seems like the screen is cracked right out of the box. i need immediate assistance. it's very urgent.,Product Damage,low
The delivery was promised within 3 days but it's been over a week. It's quite frustrating.,Delivery Delay,medium
Faced an issue: The app layout is broken on my phone. Kindly look into it soon.,App Bug,low
"It seems like every time i reach out, i get a different answer. kindly look into it soon.",Service Issue,low
This is urgent. My profile details got changed without my knowledge. Please resolve this ASAP.,Account Issue,low
It seems like this is urgent. the login page won’t load at all. please resolve this asap.,Login Trouble,high
"It seems like my order slip is correct, but the item is wrong.",Wrong Item,medium
This is urgent. Technical support hasn’t resolved my issue after multiple attempts. Please resolve this ASAP. It's quite frustrating.,Technical Issue,low
The support team gave me incorrect information.,Service Issue,medium
Having trouble because the box contained something completely unrelated. i need immediate assistance. it's very urgent.,Wrong Item,low
Having trouble because my two-factor authentication code never arrives. i need immediate assistance. it's very urgent.,Login Trouble,medium
This is urgent. My account was suspended without any notification. Please resolve this ASAP.,Account Issue,high
It looks like the product was previously used. Kindly look into it soon.,Product Damage,medium
My account was suspended without any notification. Kindly look into it soon. It's quite frustrating.,Account Issue,low
"It seems like every time i open the app, it crashes unexpectedly. i need immediate assistance. it's very urgent.",Technical Issue,low
Having trouble because the app closes automatically after i open it.,App Bug,medium
This is urgent. The app closes automatically after I open it. Please resolve this ASAP. It's quite frustrating.,App Bug,medium
"This is urgent. Every time I open the app, it stops working unexpectedly. Please resolve this ASAP.",Technical Issue,medium
"Every time I reach out, I get a different answer. It's quite frustrating.",Service Issue,high
This is not the product I paid for.,Wrong Item,low
It says my account doesn't exist when I try to log in. I need immediate assistance. It's very urgent.,Login Trouble,high
Faced an issue: It says my account doesn't exist when I try to log in.,Login Trouble,medium
Having trouble because my profile details got changed without my knowledge. kindly look into it soon.,Account Issue,low
It seems like the system keeps freezing when i try to upload my documents. i need immediate assistance. it's very urgent.,Technical Issue,low
Faced an issue: This is urgent. There are scratches and dents all over the product. Please resolve this ASAP.,Product Damage,medium
This is urgent. The packaging was torn and the contents were damaged. Please resolve this ASAP. It's quite frustrating.,Product Damage,high
The website isn’t responding when I click on certain links. It's quite frustrating.,Technical Issue,low
I requested a refund but haven't received it yet. Kindly look into it soon.,Payment Issue,medium
The system keeps freezing when I try to upload my documents.,Technical Issue,high
There are scratches and dents all over the product. I need immediate assistance. It's very urgent.,Product Damage,high
It seems like the item is stuck in transit and no one is helping.,Delivery Delay,high
The screen is cracked right out of the box.,Product Damage,low
Having trouble because i waited the whole day but the delivery never happened.,Delivery Delay,medium
"This is urgent. My card was declined without any reason, even though it's active. Please resolve this ASAP.",Payment Issue,low
The system keeps freezing when I try to upload my documents. I need immediate assistance. It's very urgent.,Technical Issue,medium
It seems like this is urgent. no one seems to take ownership of my complaint. please resolve this asap.,Customer Support,medium
Having trouble because my issue hasn’t been resolved for over a month. kindly look into it soon.,Customer Support,high
Having trouble because the support team gave me incorrect information. i need immediate assistance. it's very urgent.,Service Issue,low
Having trouble because my two-factor authentication code never arrives. i need immediate assistance. it's very urgent.,Login Trouble,medium
It seems like the payment gateway shows an error every time i try to pay.,Payment Issue,medium
Faced an issue: The resolution time is way too long for such a basic issue. I need immediate assistance. It's very urgent.,Service Issue,high
"My order slip is correct, but the item is wrong.",Wrong Item,medium
It seems like no one seems to take ownership of my complaint. i need immediate assistance. it's very urgent.,Customer Support,high
"Having trouble because my card was declined without any reason, even though it's active. i need immediate assistance. it's very urgent.",Payment Issue,medium
My two-factor authentication code never arrives. I need immediate assistance. It's very urgent.,Login Trouble,medium
"My card was declined without any reason, even though it's active. Kindly look into it soon.",Payment Issue,high
Faced an issue: This is urgent. I'm facing constant glitches while navigating the dashboard. Please resolve this ASAP.,Technical Issue,medium
It seems like the app layout is broken on my phone. kindly look into it soon.,App Bug,medium
I can’t access my account despite entering the correct password. It's quite frustrating.,Account Issue,medium
This is urgent. I'm facing constant glitches while navigating the dashboard. Please resolve this ASAP.,Technical Issue,medium
It looks like the product was previously used. Kindly look into it soon.,Product Damage,high
It seems like customer service keeps transferring my call.,Customer Support,high
There are scratches and dents all over the product.,Product Damage,high
Having trouble because it looks like the product was previously used. i need immediate assistance. it's very urgent.,Product Damage,medium
Faced an issue: This is urgent. It says my account doesn't exist when I try to log in. Please resolve this ASAP.,Login Trouble,high
"It seems like instead of a phone, i got a pair of headphones. kindly look into it soon.",Wrong Item,high
Faced an issue: The representative was rude and unhelpful. Kindly look into it soon.,Service Issue,low
"Every time I open the application, it crashes unexpectedly. Kindly look into it soon.",Technical Issue,low
It seems like this is urgent. my account was suspended without any notification. please resolve this asap.,Account Issue,medium
"This is urgent. Instead of a phone, I got a pair of headphones. Please resolve this ASAP.",Wrong Item,high
"It seems like this is urgent. instead of a phone, i got a pair of headphones. please resolve this asap.",Wrong Item,low
Faced an issue: I was charged twice for the same transaction. I need immediate assistance. It's very urgent.,Payment Issue,medium
Having trouble because customer service keeps transferring my call. i need immediate assistance. it's very urgent.,Customer Support,high
The screen is cracked right out of the box. Kindly look into it soon.,Product Damage,medium
Having trouble because this is urgent. the representative was rude and unhelpful. please resolve this asap.,Service Issue,high
I’m unable to update my email or phone number. I need immediate assistance. It's very urgent.,Account Issue,medium
I can’t access my account despite entering the correct password. Kindly look into it soon. It's quite frustrating.,Account Issue,low
Faced an issue: My account was suspended without any notification. I need immediate assistance. It's very urgent.,Account Issue,medium
This is urgent. It says my account doesn't exist when I try to log in. Please resolve this ASAP. It's quite frustrating.,Login Trouble,medium
The application layout is broken on my phone.,App Bug,high
Having trouble because there’s no tracking update for my order. i need immediate assistance. it's very urgent.,Delivery Delay,high
"Instead of a phone, I got a pair of headphones.",Wrong Item,high
Having trouble because my two-factor authentication code never arrives. i need immediate assistance. it's very urgent.,Login Trouble,medium
I had to wait for 40 minutes to talk to someone. I need immediate assistance. It's very urgent.,Service Issue,low
This is urgent. My payment was deducted but the order didn’t go through. Please resolve this ASAP.,Payment Issue,medium
It seems like the screen is cracked right out of the box.,Product Damage,high
The app closes automatically after I open it. I need immediate assistance. It's very urgent.,App Bug,medium
"It seems like my card was declined without any reason, even though it's active. i need immediate assistance. it's very urgent.",Payment Issue,low
Faced an issue: I’ve submitted multiple tickets but no one responds. Kindly look into it soon.,Customer Support,low
It seems like this is urgent. the system keeps freezing when i try to upload my documents. please resolve this asap.,Technical Issue,low
This is urgent. The app closes automatically after I open it. Please resolve this ASAP. It's quite frustrating.,App Bug,low
Faced an issue: The representative was rude and unhelpful.,Service Issue,high
It seems like this is urgent. this is not the product i paid for. please resolve this asap.,Wrong Item,low
It seems like it looks like the product was previously used. kindly look into it soon.,Product Damage,low
It seems like this is urgent. i can’t access my account despite entering the correct password. please resolve this asap.,Account Issue,high
Customer service keeps transferring my call.,Customer Support,high
Faced an issue: The box contained something completely unrelated. I need immediate assistance. It's very urgent.,Wrong Item,medium
Customer service keeps transferring my call. Kindly look into it soon.,Customer Support,high
Customer service keeps transferring my call. Kindly look into it soon.,Customer Support,medium
They keep closing my ticket without a resolution. Kindly look into it soon.,Customer Support,medium
My payment was deducted but the order didn’t go through. It's quite frustrating.,Payment Issue,high
No one seems to take ownership of my complaint. I need immediate assistance. It's very urgent.,Customer Support,low
Faced an issue: The item arrived broken and unusable. Kindly look into it soon.,Product Damage,medium
Push notifications are not working properly.,App Bug,low
I received a different color and size than what I ordered. Kindly look into it soon. It's quite frustrating.,Wrong Item,medium
This is urgent. This is not the product I paid for. Please resolve this ASAP.,Wrong Item,high
Having trouble because this is urgent. the item is stuck in transit and no one is helping. please resolve this asap.,Delivery Delay,low
Having trouble because i’ve submitted multiple tickets but no one responds.,Customer Support,high
My two-factor authentication code never arrives. I need immediate assistance. It's very urgent.,Login Trouble,low
Faced an issue: This is urgent. Customer service keeps transferring my call. Please resolve this ASAP.,Customer Support,low
This is not the product I paid for.,Wrong Item,high
Having trouble because the item is stuck in transit and no one is helping. i need immediate assistance. it's very urgent.,Delivery Delay,low
Push notifications are not working properly. I need immediate assistance. It's very urgent. It's quite frustrating.,App Bug,medium
It seems like the app closes automatically after i open it.,App Bug,medium
This is urgent. Technical support hasn’t resolved my issue after multiple attempts. Please resolve this ASAP.,Technical Issue,high
Having trouble because this is urgent. i was charged twice for the same transaction. please resolve this asap.,Payment Issue,high
The item arrived broken and unusable. I need immediate assistance. It's very urgent.,Product Damage,high
Having trouble because there are scratches and dents all over the product. kindly look into it soon.,Product Damage,medium
Having trouble because there are unauthorized activities showing up in my account. i need immediate assistance. it's very urgent.,Account Issue,low
"This is urgent. Every time I open the app, it crashes unexpectedly. Please resolve this ASAP. It's quite frustrating.",Technical Issue,high
It looks like the product was previously used.,Product Damage,high
I can’t access my account despite entering the correct password.,Account Issue,low
My payment was deducted but the order didn’t go through. I need immediate assistance. It's very urgent. It's quite frustrating.,Payment Issue,low
I reset my password but still can’t access my account. It's quite frustrating.,Login Trouble,medium
My package is marked as shipped but hasn’t arrived for over a week. I need immediate assistance. It's very urgent. It's quite frustrating.,Delivery Delay,high
"It seems like my card was declined without any reason, even though it's active. i need immediate assistance. it's very urgent.",Payment Issue,medium
"Instead of a phone, I got a pair of headphones. Kindly look into it soon.",Wrong Item,low
The payment gateway shows an error every time I try to pay. It's quite frustrating.,Payment Issue,medium
The item arrived broken and unusable.,Product Damage,medium
The system keeps freezing when I try to upload my documents. I need immediate assistance. It's very urgent.,Technical Issue,medium
My payment was deducted but the order didn’t go through. I need immediate assistance. It's very urgent.,Payment Issue,high
It seems like the box contained something completely unrelated. i need immediate assistance. it's very urgent.,Wrong Item,medium
It seems like this is urgent. it says my account doesn't exist when i try to log in. please resolve this asap.,Login Trouble,medium
Having trouble because my payment was deducted but the order didn’t go through. kindly look into it soon.,Payment Issue,medium
Faced an issue: I reset my password but still can’t access my account.,Login Trouble,high
It seems like the payment gateway shows an error every time i try to pay.,Payment Issue,low
Having trouble because the resolution time is way too long for such a basic issue. kindly look into it soon.,Service Issue,high
I keep getting logged out every few minutes. Kindly look into it soon.,Login Trouble,high
It seems like this is urgent. they keep closing my ticket without a resolution. please resolve this asap.,Customer Support,high
This is urgent. I waited the whole day but the delivery never happened. Please resolve this ASAP. It's quite frustrating.,Delivery Delay,high
My payment was deducted but the order didn’t go through. I need immediate assistance. It's very urgent.,Payment Issue,high
It seems like no one seems to take ownership of my complaint.,Customer Support,medium
It seems like my issue hasn’t been resolved for over a month. kindly look into it soon.,Customer Support,low
